decile,count_of_decile,sum_of_actual_outcome,min_prob_good,good,cumm_good,cumm_bad,cumm_good_perc,cumm_bad_perc,cumm_bad_avoided_perc,profit_to_business
1,60,0,97.5%,60,60,0,12.4%,0.0%,100.0%,"$6,000"
2,60,0,96.3%,60,120,0,24.9%,0.0%,100.0%,"$12,000"
3,60,4,94.5%,56,176,4,36.5%,3.4%,96.6%,"$15,600"
4,60,8,92.8%,52,228,12,47.3%,10.2%,89.8%,"$16,800"
5,60,9,90.9%,51,279,21,57.9%,17.8%,82.2%,"$17,400"
6,60,7,87.6%,53,332,28,68.9%,23.7%,76.3%,"$19,200"
7,60,12,82.4%,48,380,40,78.8%,33.9%,66.1%,"$18,000"
8,60,13,74.2%,47,427,53,88.6%,44.9%,55.1%,"$16,200"
9,60,34,58.4%,26,453,87,94.0%,73.7%,26.3%,"$1,800"
10,60,31,1.6%,29,482,118,100.0%,100.0%,0.0%,"$-10,800"
